行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價,申報地價,核定申報地價情形
中正區,福和段二小段,02420001,226.0,0040,,90,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0038,,540,7,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0041,,360,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0041,,360,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0052,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0054,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0054,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0042,,500000,1872,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0044,,500000,3968,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0044,,500000,3968,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0043,,500000,1872,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0045,,500000,3967,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0045,,500000,3967,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0016,,36,1,"59,900","71,880",按公告地價120%申報
中正區,永昌段一小段,00780002,13.0,0006,A,1,1,"112,000","134,400",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0076,,3521850,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0076,,3521850,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0076,,3521850,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0076,,3521850,1049,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0076,,3521850,1049,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800003,1197.0,0074,,3521850,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0076,,3521850,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02430000,4196.0,0008,,300,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0076,,3521850,1049,"59,900","71,880",按公告地價120%申報
中正區,河堤段六小段,02210008,18.0,0013,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210012,9.0,0018,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210015,5.0,0011,,2,1,"75,400","90,480",按公告地價120%申報
中正區,河堤段六小段,02210014,5.0,0019,,2,1,"75,400","90,480",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0048,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0050,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0050,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0012,,36,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0098,,2535732,18882,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0098,,2535732,18882,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0098,,2535732,18882,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800004,1135.0,0095,,2535732,18882,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800003,1197.0,0095,,2535732,18882,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0098,,2535732,18882,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0098,,2535732,18882,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0098,,2535732,18882,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0098,,2535732,18882,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800004,1135.0,0035,,25357320,37764,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0049,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0051,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0051,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0063,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0063,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0063,,2535732,2360,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0063,,2535732,2360,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800003,1197.0,0063,,2535732,4720,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0063,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0063,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0063,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0064,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0064,,2535732,2360,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0064,,2535732,2360,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800004,1135.0,0063,,2535732,4720,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0064,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0064,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0064,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0064,,2535732,2360,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0050,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0052,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0052,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0017,,72,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0014,,180,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0015,,180,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0053,,63,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0035,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0038,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0038,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0051,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0053,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0053,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0069,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0069,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800004,1135.0,0068,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0069,,2535732,4152,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0069,,2535732,4152,"72,859","87,430",按公告地價120%申報
